00355809	_effect	00308641
00502094	_nickname	00508113
00511574	_nickname	00511589
00307153	_nickname	00522249
00344599	_effect	00329153
00312831	_indications	00339444
00507064	_effect	00304843
00527454	_origin	00527429
00317253	_indications	00317249
00313874	_effect	00313082
00349352	_nickname	00509050
00311712	_origin	00311710
00313871	_effect	00313870
00321252	_indications	00321169
00324355	_effect	00324358
00505982	_nickname	00505987
00344071	_indications	00344057
00507296	_indications	00322642
00300864	_indications	00505037
00316394	_indications	00316395
00521408	_nickname	00519184
00507296	_nickname	00500750
00521408	_nickname	00521415
00530152	_indications	00326154
00521408	_indications	00305661
00513992	_indications	00514013
00510006	_effect	00506026
00327800	_effect	00300284
00508948	_nickname	00508955
00354541	_effect	00354542
00503907	_effect	00301003
00521077	_indications	00404156
00321330	_effect	00321336
00346269	_effect	00300703
00515238	_nickname	00515254
00517027	_indications	00302825
00324848	_origin	00324846
00355444	_nickname	00509804
00331556	_nickname	00509354
00507296	_nickname	00507298
00313751	_effect	00313707
00515238	_nickname	00515256
00513798	_nickname	00513805
00401115	_effect	00400180
00349752	_nickname	00528471
00500000	_origin	00503318
00308273	_effect	00308274
00346649	_indications	00524668
00500887	_effect	00344956
00325330	_nickname	00527327
00352441	_indications	00529079
00349533	_indications	00312094
00332670	_nickname	00507228
00511574	_nickname	00511587
00519463	_nickname	00519465
00507398	_indications	00518851
00347436	_nickname	00527426
00335343	_nickname	00520346
00514936	_nickname	00514939
00327576	_nickname	00506695
00327576	_nickname	00506697
00345297	_indications	00345298
00512290	_nickname	00512301
00521408	_indications	00321512
00521461	_indications	00311638
00319478	_indications	00319481
00500117	_nickname	00506989
00523133	_nickname	00523137
00505159	_indications	00303912
00316030	_indications	00301536
00400862	_nickname	00400866
00321330	_effect	00321332
00339687	_indications	00339690
00326602	_nickname	00509244
00519463	_nickname	00519466
00317253	_nickname	00502716
00334450	_origin	00334448
00342287	_origin	00342284
00342381	_nickname	00517337
00327144	_indications	00309678
00349752	_nickname	00516500
00331445	_origin	00331444
00319226	_indications	00319227
00357014	_nickname	00517167
00520529	_nickname	00520542
00504163	_nickname	00504167
00323917	_nickname	00502707
00507064	_effect	00507066
00401203	_indications	00315797
00400970	_nickname	00400972
00520529	_indications	00300410
00514236	_indications	00518921
00321330	_origin	00321328
00507064	_origin	00325281
00352357	_nickname	00528242
00349352	_nickname	00509055
00300864	_nickname	00505033
00332670	_nickname	00507227
00509088	_nickname	00509090
00521077	_origin	00404145
00300864	_nickname	00505032
